year,Preparation,"p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s",O2 conversion,CH4 conversion,COx selectivity,C2H6 selectivity,C2H4 selectivity,C2 selectivity,C2 yield,Ag,Al,Au,B,Ba,Be,Bi,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Ho,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,Sb,Sc,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr,Temperature_C
2010,Physical mixing,0.8,0.2,4,1,0.020084085,,27.4,,29.7,27,56.7,15.5358,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750
2018,Impregnation,0.867867868,0.117117117,7.41025641,1,0.063817,98.45758,18.42857,,,,84.19689,15.51628281,0.793758,0,0,0,0,0,0,0,0,0,2.262464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762943,0,2.157588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.94445,0,0,0,0,0,0,0,0,0,0,0,1.078794,0,0,0,0,750
2015,Impregnation,0.75,0.25,3,1,0.04779945,,33.44262,,,,46.39400262,15.51537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.48628721,69.51371279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600
2015,Impregnation,0.75,0.25,3,1,0.048893114,,31.18397,,,,49.75431287,15.51537,0,0,0,0,0,0,0,0,43.33867778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.66132222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750
2018,Impregnation,0.44,0.11,4,1,0.026287,,27.30871,,,,56.77419,15.5042989,0,0,0,0,8.375381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.624619,0,0,0,750
2000,Impregnation,0.833000004,0.166999996,4.988024235,1.013000011,0.45,,25,,,,62,15.5,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.85
2014,Impregnation,0.2,0.05,4,1,0.024,,24.21875,,27.82608696,36.17391304,64,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,45,0,0,0,0,0,0,0,0,850
1990,Precipitation,0.880999982,0.131999999,6.67424202,1.013000011,0.016,99.59999847,21.20000076,,,,73.09999847,15.49720023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.69999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.29999924,0,0,0,0,0,0,0,0,0,0,0,0,0,879.85
2010,Impregnation,,,3,1,0.0428119,,23.17881,,45.84451,21.00041,66.84492,15.493857,0,0,0,0,0,0,0,0,0,0,2.27196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31744,0,2.16664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.16064,0,0,0,0,0,0,0,0,0,0,0,1.08332,0,0,0,0,900
2015,SPS,0.666666667,0.333333333,2,1,0.024430999,94,43,57,33,3,36,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.080299563,0,0,2.225920533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65363012,0,0,0,0,0,0,0,0,0,0,0,1.040149782,0,0,0,0,905
2015,SGS,0.62962963,0.37037037,1.7,1,0.023986799,98,43,58,32,4,36,15.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.080299563,0,0,2.225920533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65363012,0,0,0,0,0,0,0,0,0,0,0,1.040149782,0,0,0,0,884
2010,Physical mixing,0.8,0.2,4,1,0.020084085,,25.7,,28.46842105,31.63157895,60.1,15.4457,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
2013,Impregnation,,,5,1,0.318,99.9,22.6,31.7,46.7,21.6,68.3,15.4358,0,0,0,0,0,0,0,0,0,0,3.660986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33428,0,2.1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.73128,0,0,0,0,0,0,0,0,0,0,0,1.09115,0,0,0,0,839.85
2010,Impregnation,,,5,1,0.0419203,99.9,22.6,31.6,46.7,21.6,68.3,15.4358,0,0,0,0,0,0,0,0,0,0,3.70235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3603,0,2.2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.6273,0,0,0,0,0,0,0,0,0,0,0,1.10335,0,0,0,0,840
2018,Sol-gel,0.4,0.1,4,1,0.031801558,,26.79775,,23.79421,33.70579,57.5,15.40870625,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
2015,Impregnation,0.75,0.25,3,1,0.04779945,,33.58834,,,,45.86969764,15.40687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.48628721,69.51371279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
2015,Impregnation,0.75,0.25,3,1,0.038789015,,33.36976,,,,46.17015525,15.40687,0,0,0,0,8.570185745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.42981425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
1988,n.a.,0.5,0.100000001,5,1.013000011,0.375,,22,,,,70,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.40000153,3.799999952,0,3.799999952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924.85
2011,Solid-phase technique,0.8,0.2,4,1,0.142264286,96,27,37,44,13,57,15.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10216523,0,0,2.249316796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,930
2014,Impregnation,0.4,0.2,2,1,0.8,,41.54,,,,37.04,15.386416,0,0,0,0,0,0,0,0,30.3030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.6969697,0,750
1994,Therm.decomp.,0.200000003,0.25,0.800000012,1.013000011,0.24,,30.20000076,,29.20000076,21.70000076,50.90000153,15.37180085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,699.85
1995,Therm.decomp.,0.75,0.25,3,1.013000011,0.24,,30.20000076,49.09999847,29.20000076,21.70000076,50.90000153,15.37180085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.69999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.29999924,0,0,0,0,0,0,0,0,0,0,0,0,0,699.85
2011,Impregnation,0.342857143,0.057142857,6,0.4,0.282021152,95.5,21.1,27.2,,,72.8,15.3608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624329,0,3.622933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.07,0,0,0,0,0,0,0,0,0,0,0,0.679744,0,0,0,0,710
2010,Impregnation,,,4,1,0.0441578,97.6,22.6,32,47.2,20.7,67.9,15.3454,0,0,0,0,0,0,0,0,0,0,0.22117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.256,0,2.1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.35903,0,0,0,0,0,0,0,0,0,0,0,1.0546,0,0,0,0,840
2013,Impregnation,,,4,1,0.318,97.6,22.6,32.1,47.2,20.7,67.9,15.3454,0,0,0,0,0,0,0,0,0,0,0.218805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23219,0,2.086856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.41872,0,0,0,0,0,0,0,0,0,0,0,1.043428,0,0,0,0,839.85
2011,Solid-phase technique,0.72972973,0.27027027,2.7,1,0.1317,52,26,35,40,19,59,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249316796,0,0,0,0,0,0,0,0,0,0,2.10216523,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,895
1989,Therm.decomp.,0.270000011,0.057,4.736842155,1.013000011,,,20.10000038,,,,76.30000305,15.3363009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.39999962,0,38.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.20000076,0,799.85
2014,Impregnation,0.8,0.2,4,1,1.5,,23.6349,,,,64.86443,15.33064317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02152112,0,80.19461203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.783866855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650
1997,Therm.decomp.,0.889999986,0.109999999,8.090909004,1.013000011,0.018,,20.60000038,,,,74.30000305,15.30580091,0,0,0,0,8.300000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.300000191,0,0,83.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
1998,Therm.decomp.,0.067000002,0.033,2.030303001,1.013000011,0.1,,48.40000153,66.40000153,17.89999962,13.69999981,31.59999943,15.29440021,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829.85
1994,Therm.decomp.,0.666999996,0.330000013,2.021212101,1.013000011,0.083,,35.90000153,52.40000153,25.10000038,17.5,42.60000038,15.29340079,0,0,0,0,50,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.85
1993,Sol-gel,0.129999995,0.066500001,1.954887033,1.013000011,0.8,,35,,,,43.59999847,15.25999947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.85
1989,Impregnation,0.810000002,0.202999994,3.990148067,1.013000011,0.034,,24.10000038,,,,63.29999924,15.25530006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.100000381,0,0,90.90000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
1996,Impregnation,0.810000002,0.189999998,4.263157845,1.013000011,0.3,,25,49,37.20000076,23.79999924,61,15.25,0,0,0,0,90.90000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.100000381,0,0,0,0,0,819.85
2014,Impregnation,0.8,0.2,4,1,1.5,,24.4,,,,62.5,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02152112,0,80.19461203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.783866855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
1987,Impregnation,0.75999999,0.252999991,3.00395298,1.013000011,0.012,73,24.20000076,,,,63,15.24600048,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759.85
2017,Sol-gel,0.75,0.25,3,1,0.36,100,30.9,,31.69285714,17.60714286,49.3,15.2337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.226,0,2.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65,0,0,0,0,0,0,0,0,0,0,0,1.041,0,0,0,0,775
2010,Impregnation,,,3,1,0.0428119,,22.31788,,48.09652,20.15214,68.24866,15.23165404,0,0,0,0,0,0,0,0,0,0,2.27196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31744,0,2.16664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.16064,0,0,0,0,0,0,0,0,0,0,0,1.08332,0,0,0,0,880
2013,Sol-gel,0.533333333,0.266666667,2,1,0.18,,37.5,59.4,27.1,13.5,40.6,15.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.907827227,0,2.718788765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.01398962,0,0,0,1.359394383,0,0,0,0,824.85
2011,Precipitation,0.416,0.084,5,1,0.25,,25.65407,,,,59.31034,15.21551614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.45159275,0,22.54840725,0,0,0,0,0,0,0,0,0,0,0,0,0,775
2008,Therm.decomp.,0.800000012,0.200000003,4,1.013000011,0.7,,24.70000076,,,,61.59999847,15.21520009,0,0,0,0,0,0,0,0,90.90000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.100000381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.85
2019,Impregnation,0.4,0.1,4,1.2,0.1338,74.5,22.3,,,,68.2,15.2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.225308464,0,2.080499064,0.014059721,0,0,0,0,0,0,0,0,0,0,0,0,0,94.63988322,0,0,0,0,0,0,0,0,0,0,0,1.040249532,0,0,0,0,770
1997,Therm.decomp.,0.889999986,0.109999999,8.090909004,1.013000011,0.018,,17.10000038,,,,88.90000153,15.2019006,0,0,0,0,0,0,0,0,1.899999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.899999976,0,0,96.19999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
2014,Impregnation,0.2,0.05,4,1,0.024,,20.32085561,,28.76923077,46.03076923,74.8,15.2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,45,0,0,0,0,0,0,0,0,850
2018,IJP-A synthesis,0.454545455,0.151515152,3,1,0.067562061,,29.1,,32.12307692,20.07692308,52.2,15.1902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307807108,0,5.792370115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.27488107,0,0,0,0,0,0,0,0,0,0,0,0.624941703,0,0,0,0,833
2018,Impregnation,0.867867868,0.117117117,7.41025641,1,0.063817,99.22879,18.42857,,,,82.38342,15.18208622,0.793758,0,0,0,0,0,0,0,0,0,2.262464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762943,0,2.157588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.94445,0,0,0,0,0,0,0,0,0,0,0,1.078794,0,0,0,0,775
2014,Impregnation,0.8,0.2,4,1,1.5,,22.95638,,,,66.09251,15.17244775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02152112,0,80.19461203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.783866855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625
2010,Physical mixing,0.8,0.2,4,1,0.020084085,,26.9,,28.2,28.2,56.4,15.1716,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850
1989,Impregnation,0.810000002,0.202999994,3.990148067,1,0.025,,22.70000076,,,,66.80000305,15.1636012,0,0,0,0,0,0,0,0,95.19999695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.800000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
1985,Impregnation,0.300000012,0.050000001,6,1.013000011,0.1,100,21.60000038,,32.59999847,37.59999847,70.19999695,15.16319961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
2010,Physical mixing,0.8,0.2,4,1,0.020084085,,26.5,,28.6,28.6,57.2,15.158,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
2010,Precipitation,0.8,0.2,4,1,0.020084085,,26.5,,28.6,28.6,57.2,15.158,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
2014,Impregnation,0.8,0.2,4,1,1.5,,24.8,,,,61.1,15.1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02152112,0,80.19461203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.783866855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700
2013,Sol-gel,0.533333333,0.266666667,2,1,0.18,,29.8,49.2,36.3,14.5,50.8,15.1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.34851848,1.519877127,0,1.421069594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710534797,0,0,0,0,849.85
2014,n.a.,0.833333333,0.166666667,5,1,0.051378875,,23.68421,,,,63.85965,15.12465361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.098362,0,1.23904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.04308,0,0,0,0,0,0,0,0,0,0,0,0.61952,0,0,0,0,870
1986,n.a.,0.027000001,0.014,1.928570986,1.013000011,2.4,,36,,,,42,15.12,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
1988,n.a.,0.082999997,0.041999999,1.976189971,1,5.2,56,28,,29,25,54,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.90000153,0,749.85
1991,n.a.,0.275999993,0.131999999,2.090909004,1.013000011,0.48,58,27,44,26,30,56,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,72.90000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100000001,0,804.85
2010,Physical mixing,0.8,0.2,4,1,0.020084085,,26.7,,29.64761905,26.95238095,56.6,15.1122,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
2010,Physical mixing,0.8,0.2,4,1,0.020084085,,26.7,,28.3,28.3,56.6,15.1122,0,0,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800
2010,Impregnation,,,3,1,0.0419203,,22.45033,,47.93566,19.37718,67.31284,15.11195471,0,0,0,0,0,0,0,0,0,0,3.70235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3603,0,2.2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.6273,0,0,0,0,0,0,0,0,0,0,0,1.10335,0,0,0,0,860
2015,Precipitation,0.75,0.25,3,1,0.038402458,,33.69863,,,,44.82787579,15.10638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750
2014,Microemulsion,0.8,0.2,4,1,1.5,,26,,,,58.1,15.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.05524373,0,80.37464517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.570111105,0,0,0,0,0,0,0,0,0,0,0,700
2009,Citric acid method,0.32,0.084,4,1,2.28E-05,92.4,28.5,47,,,53,15.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.33333333,23,0,25.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
2017,Sol-gel,0.75,0.25,3,1,0.36,100,32,,32.8969697,14.3030303,47.2,15.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.295,0,2.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.041,0,0,0,0,0,0,0,9.449,0,0,0,1.073,0,0,0,0,800
2014,SCS,0.64,0.16,4,1,0.41459,,,,,,0,15.10381,0,0,0,0,0,0,0,0,0,0,2.287218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.832529996,0,4.362387829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.33667057,0,0,0,0,0,0,0,0,0,0,0,2.181193915,0,0,0,0,840.5492
1994,Precipitation,0.333000004,0.067000002,4.97014904,1.013000011,0.033,90,26,,,,58,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.85
2019,Impregnation,0.526315789,0.285714286,1.842105263,1,0.387711975,,24.7,39,37.3,23.7,61,15.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.619386448,0,0,4.72613689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.15756694,0,0,0,1.496909724,0,0,0,0,750
2015,SGS,0.677419355,0.322580645,2.1,1,0.024891961,95,43,59,30,5,35,15.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.080299563,0,0,2.225920533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.65363012,0,0,0,0,0,0,0,0,0,0,0,1.040149782,0,0,0,0,902
2014,Impregnation,0.8,0.2,4,1,1.5,,23.7,,,,63.4,15.0258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.05524373,0,80.37464517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.570111105,0,0,0,0,0,0,0,0,0,0,0,700
